street	year	floor	area	date	amount
Любинская 4-я	1982	3	64.5	2025-10-01	6300000.0
Крутогорская	1985	5	52.3	2025-10-01	2900000.0
Менделеева	1973	5	48.1	2025-10-01	1000000.0
Сурикова	1989	4	35.9	2025-10-01	3050000.0
2-я Трамвайная	2021	7	28.8	2025-10-01	1600000.0
Мира	1962	5	43.2	2025-10-01	4150000.0
Шакурова	2013	7	71.5	2025-10-01	8300000.0
Гагарина	1986	1	68.5	2025-10-01	450000.0
Лукашевича	1983	7	113.9	2025-10-01	11100000.0
Омская	2006	10	34.2	2025-10-01	4500000.0
Андрианова	1959	2	31	2025-10-01	3380000.0
Малиновского	2016	6	28.7	2025-10-01	3500000.0
Полосухина	1973	2	43.7	2025-10-01	4100000.0
Взлетная	2020	20	102.8	2025-10-01	12460000.0
Лукашевича	1974	4	129.1	2025-10-01	13350000.0
36-я Северная	2019	4	19.3	2025-10-01	2100000.0
Менделеева	1994	5	30.1	2025-10-01	2930000.0
Красный Путь	1984	7	64.6	2025-10-01	3600000.0
Ватутина	2011	3	55.300000000000004	2025-10-01	8700000.0
Конева	2012	4	128.2	2025-10-01	13850000.0
Архитекторов	2016	10	39	2025-10-01	7000000.0
Звездова	2008	9	68.9	2025-10-01	8900000.0
Ю.М.Нагибина	2024	5	339.6	2025-10-01	42938000
Северная 24-я	2004	4	46.3	2025-10-01	2000000.0
Косарева	1962	1	28.3	2025-10-01	3600000.0
Конева	1992	5	68.2	2025-10-01	5100000.0
Комбинатская	1963	3	43.1	2025-10-01	1400000.0
Королева	2024	13	44.7	2025-10-01	5384900.0
Взлетная	1978	7	52.3	2025-10-01	5200000.0
	1987	1	18	2025-10-01	1000000.0
Крутогорская	1961	2	42.1	2025-10-01	1630000.0
Ломоносова	1988	1	64.2	2025-10-01	2500000.0
Завертяева	2009	8	80.9	2025-10-01	900000.0
Мира	1969	4	43.2	2025-10-01	5400000.0
Центральная	1966	3	43.9	2025-10-01	450000.0
10 лет Октября	2016	6	43.2	2025-10-01	6750000.0
Звездная	1981	7	30.2	2025-10-01	2550000.0
Попова	1989	1	35.6	2025-10-01	2700000.0
Блюхера	1986	2	32.6	2025-10-01	500000.0
Бородина	1985	3	36.7	2025-10-01	3470000.0
Краснопресненская	1981	5	44	2025-10-01	4930000.0
Северная	1986	1	50.4	2025-10-01	600000.0
Мира	1966	2	18.3	2025-10-01	1895000.0
Перелета	2015	8	43.2	2025-10-01	5790000.0
А.Н.Кабанова	2023	11	223.8	2025-10-01	32245000.0
Крупской	2016	8	58.5	2025-10-01	8000000.0
Иртышская Набережная	1964	1	42	2025-10-01	4950000.0
Николаевская	1976	1	44.3	2025-10-01	99823.0
Менделеева	1975	6	43.1	2025-10-01	4550000.0
Ватутина	1976	1	98.2	2025-10-01	4430000.0
Шебалдина	2019	14	40.2	2025-10-01	5300000.0
Заречная	1957	1	44.7	2025-10-01	617000.0
СибНИИСХоз	1997	5	48.4	2025-10-01	3900000.0
Транссибирская	2009	8	37.3	2025-10-01	4500000.0
Менделеева	1973	3	49	2025-10-01	2177091.56
Крупской	2015	4	58.8	2025-10-01	8300000.0
Малиновского	2013	3	43.2	2025-10-01	5300000.0
Косарева	1962	5	66.6	2025-10-01	8400000.0
Ангарская	1977	3	43.4	2025-10-01	350000.0
Заозерная	1972	5	47.8	2025-10-01	4300000.0
Дианова	2025	1	22.9	2025-10-01	3000000.0
Майорова	1986	2	36.9	2025-10-01	2000000.0
Герцена	2006	9	40.7	2025-10-01	5350000.0
Лаптева			596.7	2025-10-01	90176900
Мира	2000	2	50.2	2025-10-01	5000000.0
Зеленый	1984	4	115.4	2025-10-01	6200000.0
Карла Маркса	1958	2	31.4	2025-10-01	2880000.0
Богдана Хмельницкого	1988	8	50.1	2025-10-01	5000000.0
Архитекторов	2014	7	42.1	2025-10-01	3000000.0
Крупской	1984	2	52.3	2025-10-01	6000000.0
22 Апреля	2011	2	51.4	2025-10-01	6500000.0
Волгоградская	1976	3	65.2	2025-10-01	5700000.0
Красный Путь	1958	5	41.3	2025-10-01	5250000.0
Пригородная	2009	надземный уровень 1 этажа	12.8	2025-10-01	1500000.0
Лукашевича	1987	7	40.5	2025-10-01	4530000.0
Вокзальная	2025	2	288.4	2025-10-01	39814000.0
22 Апреля	1970	5	84.8	2025-10-01	6600000.0
Дианова	2010	3	35.3	2025-10-01	4350000.0
Химиков	1992	7	34.9	2025-10-01	4100000.0
Лукашевича	1977	1	32.2	2025-10-01	4000000.0
11-я Ремесленная	2024	10	37.9	2025-10-01	3515000.0
50 лет ВЛКСМ	1969	1	106.19999999999999	2025-10-01	9000000.0
Завертяева	2009	5	54.1	2025-10-01	4650000.0
1-я Ленинградская	2024	10	33.9	2025-10-01	2000000.0
Рокоссовского	1991	4	102.19999999999999	2025-10-01	10450000.0
Шипицынская	1976	1	41.9	2025-10-01	127500.0
4-й Амурский	2024	8	636.0999999999999	2025-10-01	88030000.0
Шебалдина	2020	8	33.2	2025-10-01	4200000.0
Пригородная	2010	9	99.1	2025-10-01	11320000.0
Мира	1959	2	18.9	2025-10-01	1240000.0
21-я Амурская	1980	1	79.4	2025-10-01	5870800.0
Сергея Тюленина	2025	10	718.6	2025-10-01	115141000.0
Линия 13-я	2015	16	35.5	2025-10-01	5650000.0
10 лет Октября	1987	2	63.6	2025-10-01	6250000.0
75 Гвардейской бригады	1976	5	28.4	2025-10-01	3150000.0
Мира	1982	1	66.9	2025-10-01	800000.0
Пригородная	2016	12	34.1	2025-10-01	4480000.0
Октябрьская	1971	1	42.3	2025-10-01	4000000.0
Южная	1980	1	54.9	2025-10-01	250000.0
Гоголя	2011	1	44	2025-10-01	3500000.0
22 Апреля	1962	2	32.4	2025-10-01	2590000.0
11-я Ремесленная	2024	3	56.9	2025-10-01	4850000.0
Лермонтова	1986	7	26.7	2025-10-01	2200000.0
Карла Маркса	1986	2	66.8	2025-10-01	7600000.0
Лесная	1990	1	90.2	2025-10-01	4300000.0
Крыловская	1987	5	43.7	2025-10-01	3850000.0
Амурская 21-я	1964	5	44.8	2025-10-01	3230000.0
Королева	2024	9	40.3	2025-10-01	5434455.0
Иртышская Набережная	1972	1	37.5	2025-10-01	1000000.0
Малунцева	1956	4	104.5	2025-10-01	8300000.0
М.М.Кузьмина	2022	17	42.5	2025-10-01	5600000.0
Братская	2005	6	69.3	2025-10-01	2000000.0
Кордная 5-я	1961	2	30.6	2025-10-01	2690000.0
Волгоградская			4486.2	2025-10-01	776736379
Северная 5-я	1986	7	43.6	2025-10-01	5300000.0
Харьковская	1987	3	56.8	2025-10-01	5370000.0
Осоавиахимовская	1996	7	42	2025-10-01	6600000.0
10 лет Октября	1966	1	42.7	2025-10-01	3200000.0
Малиновского	2014	4	38.4	2025-10-01	4320000.0
Лукашевича	1974	2	83.8	2025-10-01	4935000.0
Сергея Тюленина	2025	7	811	2025-10-01	125350000.0
Крупской	2012	4	36.3	2025-10-01	4850000.0
22 Апреля	1977	2	28.6	2025-10-01	2000000.0
Мира	1969	2	30.2	2025-10-01	2700000.0
Лермонтова	1959	5	75.1	2025-10-01	10000000
Камерный	1968	1	123.1	2025-10-01	10250000.0
Линия 7-я	1952	2	46	2025-10-01	3900000.0
Амурская 21-я	1978	1	32.4	2025-10-01	1000000.0
12 Декабря	1976	4	31.2	2025-10-01	3000000.0
Бульварная	1991	5	63.5	2025-10-01	6600000.0
Декабристов	2006	15	83.9	2025-10-01	4710000.0
А.Н.Кабанова	2023	5	96.5	2025-10-01	13723000.0
Космический	1968	1	40.8	2025-10-01	3100000.0
Маяковского	1963	3	42.8	2025-10-01	4250000.0
Тарская	2012	8	33.4	2025-10-01	3500000.0
Амурский 4-й	2017	3	33.4	2025-10-01	3700000.0
Железнодорожная 1-я	1988	5	59.400000000000006	2025-10-01	5590000.0
Звездова	2019	2	35	2025-10-01	5650000.0
22 Апреля	1966	1	44.9	2025-10-01	3420000.0
Советская	1980	3	59	2025-10-01	1800000.0
Амурский 2-й	2017	4	36.9	2025-10-01	3500000.0
Завертяева	2014	9	69.8	2025-10-01	8445000.0
Латвийская	1961	1	35.2	2025-10-01	2600000.0
Бориса Катышева	1972	2	40.2	2025-10-01	4100000.0
Комарова	1988	3	166.2	2025-10-01	18100000.0
Степанца	1984	4	30	2025-10-01	3000000.0
Береговая	1990	1	61.1	2025-10-01	500000.0
Барнаульская 2-я	1976	2	47.8	2025-10-01	3500000.0
Чайковского			432.82000000000005	2025-10-01	60470350
Пролетарская	1990	1	77.2	2025-10-01	3000000.0
11-я Ремесленная	2024	7	75.80000000000001	2025-10-01	6708000.0
	1961	2	26.4	2025-10-01	3200000.0
Иркутская	1985	6	63.7	2025-10-01	7100000.0
Котельникова	2004	6	137.2	2025-10-01	17000000
Омская	2001	7	41.9	2025-10-01	5500000.0
Ю.М.Нагибина	2024	4	251.3	2025-10-01	33493000.0
Серова	1960	1	43.5	2025-10-01	3940000.0
Московская	1995	1	63.3	2025-10-01	4200000.0
Мельничная	2013	4	66.4	2025-10-01	6450000.0
Шинная 6-я	1975	1	31.2	2025-10-01	2000000.0
Сергея Тюленина	2025	1	239.1	2025-10-01	39030000.0
Энтузиастов	2014	1	51.3	2025-10-01	4400000.0
Красный Путь	2015	4	57.3	2025-10-01	8100000.0
Иртышская Набережная	1969	5	59.8	2025-10-01	6450000.0
21-я Амурская	2022	4	94.8	2025-10-01	12650000.0
Советская	1960	1	58.1	2025-10-01	200000.0
Перелета	2020	 9	42.9	2025-10-01	6700000.0
12 Декабря	1973	2	47.2	2025-10-01	3000000.0
Коммунальная	1988	8	113.2	2025-10-01	8711262.0
Взлетная	1980	3	29.9	2025-10-01	2750000.0
Кузнечная	1979	1	40.2	2025-10-01	3800000.0
Комкова	1983	5	30.4	2025-10-01	3100000.0
1-я Ленинградская	2024	6	61	2025-10-01	5900000.0
